PubMedID,Matched_Protein_Id,Matched_Protein_Name,Other_protein,Sentence,marked_text
1311566,P05231,Interleukin-6,IL-1,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of Tumor Necrosis Factor (TNF), Interleukin-1 ([E2] IL-1 [/E2]), [E1] Interleukin-6 [/E1] (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
1311566,P05231,Interleukin-6,Interferon-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), [E1] Interleukin-6 [/E1] (IL-6) and [E2] Interferon-gamma [/E2] (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
1311566,P05231,Interleukin-6,IFN-gamma,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), [E1] Interleukin-6 [/E1] (IL-6) and Interferon-gamma ([E2] IFN-gamma [/E2]) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
1311566,P05231,Interleukin-6,Mn-superoxide dismutase (Mn-SOD) protein,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), [E1] Interleukin-6 [/E1] (IL-6) and Interferon-gamma (IFN-gamma) on the expression of [E2] Mn-superoxide dismutase (Mn-SOD) protein [/E2] were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
1311683,P14210,Hepatocyte growth factor,heparin-binding polypeptide mitogen,Hepatocyte growth factor (HGF) is a heparin-binding polypeptide mitogen for a variety of cell types including hepatocytes.,[E1] Hepatocyte growth factor [/E1] (HGF) is a [E2] heparin-binding polypeptide mitogen [/E2] for a variety of cell types including hepatocytes.
1311700,P01375,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF) is a cytokine with pleiotropic effects upon cell growth, inflammation and immunologic responsiveness.","[E1] Tumor necrosis factor [/E1] (TNF) is a [E2] cytokine [/E2] with pleiotropic effects upon cell growth, inflammation and immunologic responsiveness."
1312869,P14210,Hepatocyte growth factor,hepatotropic factor,Hepatocyte growth factor (HGF) is the most potent mitogen for mature hepatocytes and seems to act as a hepatotropic factor that has not been purified over the past 30 years.,[E1] Hepatocyte growth factor [/E1] (HGF) is the most potent mitogen for mature hepatocytes and seems to act as a [E2] hepatotropic factor [/E2] that has not been purified over the past 30 years.
1313774,P01375,Tumor necrosis factor,manganese superoxide dismutase,Tumor necrosis factor (TNF) induces synthesis of manganese superoxide dismutase (MnSOD).,[E1] Tumor necrosis factor [/E1] (TNF) induces synthesis of [E2] manganese superoxide dismutase [/E2] (MnSOD).
1313774,P01375,Tumor necrosis factor,MnSOD,Tumor necrosis factor (TNF) induces synthesis of manganese superoxide dismutase (MnSOD).,[E1] Tumor necrosis factor [/E1] (TNF) induces synthesis of manganese superoxide dismutase ([E2] MnSOD [/E2]).
1314824,P01375,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1.","[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1."
1314824,P01375,Tumor necrosis factor,basal glucose transporter,"Tumor necrosis factor alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the basal glucose transporter, GLUT-1.","[E1] Tumor necrosis factor [/E1] alpha (TNF alpha), 12-O-tetradecanoylphorbol-13-acetate and cAMP stimulate hexose transport in quiescent 3T3-L1 preadipocytes by stabilizing the relatively labile mRNA coding for the [E2] basal glucose transporter [/E2], GLUT-1."
1317483,P05112,Interleukin-4,cytokine,"Interleukin-4 (IL-4) is a cytokine, with potential anti-neoplastic effects.","[E1] Interleukin-4 [/E1] (IL-4) is a [E2] cytokine [/E2], with potential anti-neoplastic effects."
1317575,P01375,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha), a primary mediator of systemic responses to sepsis and infection, can be injurious to the organism when present in excessive quantities.","[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]), a primary mediator of systemic responses to sepsis and infection, can be injurious to the organism when present in excessive quantities."
1318867,P01375,Tumor necrosis factor,interleukin-1,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.","[E1] Tumor necrosis factor [/E1] (TNF) and [E2] interleukin-1 [/E2] (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues."
1318867,P01375,Tumor necrosis factor,IL-1,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.","[E1] Tumor necrosis factor [/E1] (TNF) and interleukin-1 ([E2] IL-1 [/E2]), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues."
1318867,P01375,Tumor necrosis factor,cytokines,"Tumor necrosis factor (TNF) and interleukin-1 (IL-1), cytokines with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues.","[E1] Tumor necrosis factor [/E1] (TNF) and interleukin-1 (IL-1), [E2] cytokines [/E2] with multiple, overlapping biologic activities, have been shown to interact synergistically in nonocular tissues."
1319763,P01375,Tumor necrosis factor,interleukin 1,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.","[E1] Tumor necrosis factor [/E1] (TNF), [E2] interleukin 1 [/E2] (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response."
1319763,P01375,Tumor necrosis factor,IL-1,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.","[E1] Tumor necrosis factor [/E1] (TNF), interleukin 1 ([E2] IL-1 [/E2]) and interleukin 6 (IL-6) are central mediators of the inflammatory response."
1319763,P01375,Tumor necrosis factor,interleukin 6,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.","[E1] Tumor necrosis factor [/E1] (TNF), interleukin 1 (IL-1) and [E2] interleukin 6 [/E2] (IL-6) are central mediators of the inflammatory response."
1319763,P01375,Tumor necrosis factor,IL-6,"Tumor necrosis factor (TNF), interleukin 1 (IL-1) and interleukin 6 (IL-6) are central mediators of the inflammatory response.","[E1] Tumor necrosis factor [/E1] (TNF), interleukin 1 (IL-1) and interleukin 6 ([E2] IL-6 [/E2]) are central mediators of the inflammatory response."
1321390,P05231,Interleukin-6,tyrosine hydroxylase,"Interleukin-6 (IL-6, human recombinant) promoted the survival of catecholaminergic neurons from fetal and postnatal rat midbrains as assessed by an immunohistochemical staining for tyrosine hydroxylase (TH) in culture using a chemically defined medium.","[E1] Interleukin-6 [/E1] (IL-6, human recombinant) promoted the survival of catecholaminergic neurons from fetal and postnatal rat midbrains as assessed by an immunohistochemical staining for [E2] tyrosine hydroxylase [/E2] (TH) in culture using a chemically defined medium."
1321736,P05231,Interleukin-6,cell surface receptor,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,[E1] Interleukin-6 [/E1] (IL6) exerts its action via a [E2] cell surface receptor [/E2] composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).
1321736,P05231,Interleukin-6,80 kDa IL6-binding protein,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,[E1] Interleukin-6 [/E1] (IL6) exerts its action via a cell surface receptor composed of an [E2] 80 kDa IL6-binding protein [/E2] (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).
1321736,P05231,Interleukin-6,gp80,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,[E1] Interleukin-6 [/E1] (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein ([E2] gp80 [/E2]) and a 130 kDa polypeptide involved in signal transduction (gp130).
1321738,P05231,Interleukin-6,acute-phase proteins,Interleukin-6 (IL-6) induces changes in gene expression and the N-glycosylation pattern of acute-phase proteins in hepatocytes.,[E1] Interleukin-6 [/E1] (IL-6) induces changes in gene expression and the N-glycosylation pattern of [E2] acute-phase proteins [/E2] in hepatocytes.
1321793,P60568,Interleukin-2,beta chain,Interleukin-2 can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta (IL-2R beta).,[E1] Interleukin-2 [/E1] can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the [E2] beta chain [/E2] of the interleukin-2 receptor-beta (IL-2R beta).
1321793,P60568,Interleukin-2,IL-2R beta,Interleukin-2 can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta (IL-2R beta).,[E1] Interleukin-2 [/E1] can induce cytolytic activity in human peripheral blood lymphocytes and this activation is mediated by the beta chain of the interleukin-2 receptor-beta ([E2] IL-2R beta [/E2]).
1323842,P04141,Granulocyte-macrophage colony-stimulating factor,tumor necrosis factor alpha,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).","[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), formylmethionylleucylphenylalanine, [E2] tumor necrosis factor alpha [/E2], platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY)."
1323842,P04141,Granulocyte-macrophage colony-stimulating factor,platelet-activating factor,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).","[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, [E2] platelet-activating factor [/E2], phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY)."
1323842,P04141,Granulocyte-macrophage colony-stimulating factor,anti-phosphotyrosine antibody,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).","[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with [E2] anti-phosphotyrosine antibody [/E2] (anti-PY)."
1323842,P04141,Granulocyte-macrophage colony-stimulating factor,anti-PY,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).","[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody ([E2] anti-PY [/E2])."
1327540,P01375,Tumor necrosis factor,17-kDa protein,Tumor necrosis factor (TNF) is a 17-kDa protein produced by endotoxin-stimulated macrophages.,[E1] Tumor necrosis factor [/E1] (TNF) is a [E2] 17-kDa protein [/E2] produced by endotoxin-stimulated macrophages.
1328056,P05231,Interleukin-6,cytokine,"Interleukin-6 (IL-6) is a cytokine produced by a number of cells, including macrophages, and is directly involved in the inflammatory response.","[E1] Interleukin-6 [/E1] (IL-6) is a [E2] cytokine [/E2] produced by a number of cells, including macrophages, and is directly involved in the inflammatory response."
1328193,P14210,Hepatocyte growth factor,heavy chain,Hepatocyte growth factor (HGF) is a heterodimeric protein consisting of a heavy chain and a light chain held by a disulfide bond.,[E1] Hepatocyte growth factor [/E1] (HGF) is a heterodimeric protein consisting of a [E2] heavy chain [/E2] and a light chain held by a disulfide bond.
1328751,P01375,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) is likely to exert a major influence in the pathogenesis of glomerulopathies.,[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]) is likely to exert a major influence in the pathogenesis of glomerulopathies.
1328986,P14210,Hepatocyte growth factor,scatter factor,"Hepatocyte growth factor (HGF), also known as scatter factor (SF), is a polypeptide which induces motility and/or mitogenesis in epithelial cells.","[E1] Hepatocyte growth factor [/E1] (HGF), also known as [E2] scatter factor [/E2] (SF), is a polypeptide which induces motility and/or mitogenesis in epithelial cells."
1329755,P14210,Hepatocyte growth factor,mitogen,Hepatocyte growth factor (HGF) is the most potent known mitogen for hepatocytes in primary culture.,[E1] Hepatocyte growth factor [/E1] (HGF) is the most potent known [E2] mitogen [/E2] for hepatocytes in primary culture.
1330580,P01375,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF) is a cytokine which, among other properties, is a principle mediator of inflammation and septic shock.","[E1] Tumor necrosis factor [/E1] (TNF) is a [E2] cytokine [/E2] which, among other properties, is a principle mediator of inflammation and septic shock."
1330615,P01584,Interleukin-1 beta,IL-1,"Interleukin-1 beta (IL-1), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection.","[E1] Interleukin-1 beta [/E1] ([E2] IL-1 [/E2]), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection."
1330615,P01584,Interleukin-1 beta,cytokine,"Interleukin-1 beta (IL-1), a cytokine released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection.","[E1] Interleukin-1 beta [/E1] (IL-1), a [E2] cytokine [/E2] released from inflammatory cells, is thought to be involved in the anorexia associated with severe infection."
1331566,P01375,Tumor necrosis factor,lymphotoxin,"Tumor necrosis factor (TNF, also called TNF-alpha) and lymphotoxin (LT, TNF-beta) have 32% homology in their primary structures, and it has recently been clarified that they also have closely related tertially structures.","[E1] Tumor necrosis factor [/E1] (TNF, also called TNF-alpha) and [E2] lymphotoxin [/E2] (LT, TNF-beta) have 32% homology in their primary structures, and it has recently been clarified that they also have closely related tertially structures."
1331565,P14210,Hepatocyte growth factor,69 kDa alpha-chain,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.","[E1] Hepatocyte growth factor [/E1] (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of [E2] 69 kDa alpha-chain [/E2] with four kringle domains and 34 kDa beta-chain."
1331565,P14210,Hepatocyte growth factor,kringle domains,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.","[E1] Hepatocyte growth factor [/E1] (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four [E2] kringle domains [/E2] and 34 kDa beta-chain."
1331565,P14210,Hepatocyte growth factor,34 kDa beta-chain,"Hepatocyte growth factor (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and 34 kDa beta-chain.","[E1] Hepatocyte growth factor [/E1] (HGF), a potent mitogen of mature hepatocytes in primary culture, is composed of 69 kDa alpha-chain with four kringle domains and [E2] 34 kDa beta-chain [/E2]."
1332867,P14210,Hepatocyte growth factor,mesenchymal-derived factor,"Hepatocyte growth factor (HGF) is a mesenchymal-derived factor which induces mitosis, cell movement and morphogenesis of tissue-like structure.","[E1] Hepatocyte growth factor [/E1] (HGF) is a [E2] mesenchymal-derived factor [/E2] which induces mitosis, cell movement and morphogenesis of tissue-like structure."
1333789,P60568,Interleukin-2,cytokines,"Interleukin-2 (IL-2) treatment induces other cytokines such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities.","[E1] Interleukin-2 [/E1] (IL-2) treatment induces other [E2] cytokines [/E2] such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities."
1333789,P60568,Interleukin-2,tumour necrosis factor (TNF) TNF,"Interleukin-2 (IL-2) treatment induces other cytokines such as tumour necrosis factor (TNF) TNF may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities.","[E1] Interleukin-2 [/E1] (IL-2) treatment induces other cytokines such as [E2] tumour necrosis factor (TNF) TNF [/E2] may mediate some of the anti-tumour activity of IL-2, but conversely, may contribute to its dose limiting toxicities."
1334847,P01375,Tumor necrosis factor,TNF alpha,"Tumor necrosis factor alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline.","[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline."
1334847,P01375,Tumor necrosis factor,sphingomyelin,"Tumor necrosis factor alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of sphingomyelin in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline.","[E1] Tumor necrosis factor [/E1] alpha (TNF alpha) stimulated rapid (seconds) hydrolysis of [E2] sphingomyelin [/E2] in HL-60 cells, formation of phosphocholine (PCho) and a decrease in choline."
1336496,P14210,Hepatocyte growth factor,cytokine,"Hepatocyte growth factor (HGF)/scatter factor (SF) is a cytokine which is produced by mesenchymal cells and stimulates the motility of some epithelial cells, including cancer cells and vascular endothelial cells.","[E1] Hepatocyte growth factor [/E1] (HGF)/scatter factor (SF) is a [E2] cytokine [/E2] which is produced by mesenchymal cells and stimulates the motility of some epithelial cells, including cancer cells and vascular endothelial cells."
1337403,P01375,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) levels were determined by enzyme-linked immunosorbent assay (ELISA) and by cell culture bioassay in supernatants of lipopolysaccharide-stimulated feline monocyte cultures and in cat serum samples.,[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]) levels were determined by enzyme-linked immunosorbent assay (ELISA) and by cell culture bioassay in supernatants of lipopolysaccharide-stimulated feline monocyte cultures and in cat serum samples.
1339618,P60568,Interleukin-2,IL2 receptors,"The ability of Interleukin-2 (IL2) production, IL2 receptors expression and proliferative response by lymphocytes from 48 patients with primary lung cancer and 50 normal controls were studied.","The ability of [E1] Interleukin-2 [/E1] (IL2) production, [E2] IL2 receptors [/E2] expression and proliferative response by lymphocytes from 48 patients with primary lung cancer and 50 normal controls were studied."
