PubMedID,Matched_Protein_Id,Matched_Protein_Name,Other_protein,True_UniProtIDs,Label,Sentence
30197642,P35225,Interleukin-13,il-4,P05112,TP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30200658,P05231,Interleukin-6,proinflammatory cytokine,,FP,"The proinflammatory cytokine, interleukin-6 (IL-6), plays a critical role in many chronic inflammatory diseases, particularly inflammatory bowel disease."
30200658,P05231,Interleukin-6,il-6,P05231,TP,"The proinflammatory cytokine, interleukin-6 (IL-6), plays a critical role in many chronic inflammatory diseases, particularly inflammatory bowel disease."
30200670,P02778,C-X-C motif chemokine 10,anti-egfr,,FP,"Human keratinocytes were recently shown to respond to anti-EGFR (epidermal growth factor receptor) drugs with activation of an interferon-κ-driven autocrine loop, leading to enhanced expression of innate antiviral effectors and of the pro-inflammatory chemokines CXCL10 (C-X-C motif chemokine 10) and CCL2 (C-C motif ligand 2)."
30200670,P02778,C-X-C motif chemokine 10,epidermal growth factor receptor,,FP,"Human keratinocytes were recently shown to respond to anti-EGFR (epidermal growth factor receptor) drugs with activation of an interferon-κ-driven autocrine loop, leading to enhanced expression of innate antiviral effectors and of the pro-inflammatory chemokines CXCL10 (C-X-C motif chemokine 10) and CCL2 (C-C motif ligand 2)."
30200670,P02778,C-X-C motif chemokine 10,pro-inflammatory chemokines cxcl10,,FP,"Human keratinocytes were recently shown to respond to anti-EGFR (epidermal growth factor receptor) drugs with activation of an interferon-κ-driven autocrine loop, leading to enhanced expression of innate antiviral effectors and of the pro-inflammatory chemokines CXCL10 (C-X-C motif chemokine 10) and CCL2 (C-C motif ligand 2)."
30200670,P02778,C-X-C motif chemokine 10,ccl2,P13500,TP,"Human keratinocytes were recently shown to respond to anti-EGFR (epidermal growth factor receptor) drugs with activation of an interferon-κ-driven autocrine loop, leading to enhanced expression of innate antiviral effectors and of the pro-inflammatory chemokines CXCL10 (C-X-C motif chemokine 10) and CCL2 (C-C motif ligand 2)."
30200670,P02778,C-X-C motif chemokine 10,c-c motif ligand 2,,FP,"Human keratinocytes were recently shown to respond to anti-EGFR (epidermal growth factor receptor) drugs with activation of an interferon-κ-driven autocrine loop, leading to enhanced expression of innate antiviral effectors and of the pro-inflammatory chemokines CXCL10 (C-X-C motif chemokine 10) and CCL2 (C-C motif ligand 2)."
30201992,Q969D9,Thymic stromal lymphopoietin,type 2 cytokines,,FP,"Group 2 innate lymphoid cells (ILC2s) are distributed systemically and produce type 2 cytokines in response to a variety of stimuli, including the epithelial cytokines interleukin (IL)-25, IL-33, and thymic stromal lymphopoietin (TSLP)."
30201992,Q969D9,Thymic stromal lymphopoietin,epithelial cytokines interleukin,,FP,"Group 2 innate lymphoid cells (ILC2s) are distributed systemically and produce type 2 cytokines in response to a variety of stimuli, including the epithelial cytokines interleukin (IL)-25, IL-33, and thymic stromal lymphopoietin (TSLP)."
30201992,Q969D9,Thymic stromal lymphopoietin,il-33,O95760,TP,"Group 2 innate lymphoid cells (ILC2s) are distributed systemically and produce type 2 cytokines in response to a variety of stimuli, including the epithelial cytokines interleukin (IL)-25, IL-33, and thymic stromal lymphopoietin (TSLP)."
30201992,Q969D9,Thymic stromal lymphopoietin,tslp,Q969D9,TP,"Group 2 innate lymphoid cells (ILC2s) are distributed systemically and produce type 2 cytokines in response to a variety of stimuli, including the epithelial cytokines interleukin (IL)-25, IL-33, and thymic stromal lymphopoietin (TSLP)."
30202993,P01375,Tumor necrosis factor,apoptosis-inducing ligand receptor 2 (trail-r2)/death receptor 5,,FP,The activation of tumor necrosis factor (TNF)-related apoptosis-inducing ligand receptor 2 (TRAIL-R2)/death receptor 5 (DR5) induces apoptosis in various tumor cells but not in normal human cells.
30202993,P01375,Tumor necrosis factor,dr5,,FP,The activation of tumor necrosis factor (TNF)-related apoptosis-inducing ligand receptor 2 (TRAIL-R2)/death receptor 5 (DR5) induces apoptosis in various tumor cells but not in normal human cells.
30206412,P15692,Vascular endothelial growth factor A,vegfa,P15692,TP,Amplification of vascular endothelial growth factor A (VEGFA) has been recently reported in TFEB-amplified renal cell carcinomas regardless the level of TFEB amplification.
30207562,P01375,Tumor necrosis factor,tnf,P01375,TP,This study aims to compare the disease status of patients with active rheumatoid arthritis (RA) after treatment with tofacitinib or non- tumor necrosis factor (TNF) biologics.
30207587,P04141,Granulocyte-macrophage colony-stimulating factor,gm-csf,P04141,TP,The relevance of granulocyte-macrophage colony-stimulating factor (GM-CSF) in the management of psoriasis has not been studied previously.
30210598,P05231,Interleukin-6,nuclear factor-κb,,FP,The aim of this study was to analyze the dynamic changes and predictive values of nuclear factor-κB (NF-κB) combined with interleukin-6 (IL-6) and tumor necrosis factor-α (TNF-α) in peripheral blood in multiple organ dysfunction syndrome (MODS) in patients with severe multiple trauma.
30210598,P05231,Interleukin-6,il-6,P05231,TP,The aim of this study was to analyze the dynamic changes and predictive values of nuclear factor-κB (NF-κB) combined with interleukin-6 (IL-6) and tumor necrosis factor-α (TNF-α) in peripheral blood in multiple organ dysfunction syndrome (MODS) in patients with severe multiple trauma.
30210598,P05231,Interleukin-6,tumor necrosis factor-α (,,FP,The aim of this study was to analyze the dynamic changes and predictive values of nuclear factor-κB (NF-κB) combined with interleukin-6 (IL-6) and tumor necrosis factor-α (TNF-α) in peripheral blood in multiple organ dysfunction syndrome (MODS) in patients with severe multiple trauma.
30211239,P05231,Interleukin-6,serum high-sensitivity c-reactive protein,,FP,"The present study was designed to investigate the effects of atorvastatin on serum high-sensitivity C-reactive protein (hs-CRP), interleukin-6 (IL-6), total antioxidant capacity (TAC), and alpha-1 antitrypsin (AAT) in patients with chronic obstructive pulmonary disease (COPD)."
30211239,P05231,Interleukin-6,il-6,P05231,TP,"The present study was designed to investigate the effects of atorvastatin on serum high-sensitivity C-reactive protein (hs-CRP), interleukin-6 (IL-6), total antioxidant capacity (TAC), and alpha-1 antitrypsin (AAT) in patients with chronic obstructive pulmonary disease (COPD)."
30211239,P05231,Interleukin-6,alpha-1 antitrypsin,,FP,"The present study was designed to investigate the effects of atorvastatin on serum high-sensitivity C-reactive protein (hs-CRP), interleukin-6 (IL-6), total antioxidant capacity (TAC), and alpha-1 antitrypsin (AAT) in patients with chronic obstructive pulmonary disease (COPD)."
30212871,P22301,Interleukin-10,interleukin-10 (il10)/interleukin-10 receptor,,FP,Interleukin-10 (IL10)/interleukin-10 receptor (IL10R) deficiency is a rare disease with life-threatening infantile-onset colitis.
30212871,P22301,Interleukin-10,il10r,,FP,Interleukin-10 (IL10)/interleukin-10 receptor (IL10R) deficiency is a rare disease with life-threatening infantile-onset colitis.
30213294,P05231,Interleukin-6,il-6,P05231,TP,"Interleukin-6 (IL-6) is a kind of multifunctional cytokine and involved in mediating muscle repair metabolism, and therefore athletic capacity."
30213294,P05231,Interleukin-6,multifunctional cytokine,,FP,"Interleukin-6 (IL-6) is a kind of multifunctional cytokine and involved in mediating muscle repair metabolism, and therefore athletic capacity."
30214153,P40933,Interleukin-15,il-15,P40933,TP,Interleukin-15 (IL-15) is an immunomodulatory cytokine.
30214153,P40933,Interleukin-15,immunomodulatory cytokine,,FP,Interleukin-15 (IL-15) is an immunomodulatory cytokine.
30214449,P01375,Tumor necrosis factor,tumor necrosis factor (tnf) receptor-associated factors,,FP,"There is growing evidence that tumor necrosis factor (TNF) receptor-associated factors (TRAFs) bind to unconventional membrane-bound receptors in many cell types and control their key signaling activity, in both positive and negative ways."
30214449,P01375,Tumor necrosis factor,trafs,,FP,"There is growing evidence that tumor necrosis factor (TNF) receptor-associated factors (TRAFs) bind to unconventional membrane-bound receptors in many cell types and control their key signaling activity, in both positive and negative ways."
30214449,P01375,Tumor necrosis factor,unconventional membrane-bound receptors,,FP,"There is growing evidence that tumor necrosis factor (TNF) receptor-associated factors (TRAFs) bind to unconventional membrane-bound receptors in many cell types and control their key signaling activity, in both positive and negative ways."
30214685,Q969D9,Thymic stromal lymphopoietin,tslp,Q969D9,TP,"Thymic stromal lymphopoietin (TSLP) has emerged as an important, but contradictory, player conditioning tumor growth."
30214937,Q16552,Interleukin-17A,orphan nuclear receptor,,FP,"Retinoic-acid-receptor-related orphan nuclear receptor γt (RORγt) controls the transcription of interleukin-17A (IL-17A), which plays critical roles in the pathogenesis of autoimmune diseases."
30214937,Q16552,Interleukin-17A,il-17a,Q16552,TP,"Retinoic-acid-receptor-related orphan nuclear receptor γt (RORγt) controls the transcription of interleukin-17A (IL-17A), which plays critical roles in the pathogenesis of autoimmune diseases."
30215629,P01375,Tumor necrosis factor,cytokine,,FP,Tumor necrosis factor (TNF)-α has been identified as a key cytokine mediating cutaneous inflammation in the pathogenesis of psoriasis.
30220024,P09919,Granulocyte colony-stimulating factor,g-csf,P09919,TP,The aim of this meta-analysis is to explore the beneficial role of granulocyte colony-stimulating factor (G-CSF) on infertile women under artificial reproduction technology treatment.
30221721,P01375,Tumor necrosis factor,tnf,P01375,TP,The aim of the present study was to investigate the acute effect and mechanism of tumor necrosis factor (TNF) on basolateral 50 pS K channels in the thick ascending limb (TAL) of the rat kidney.
30222506,P01579,Interferon gamma,nod-like receptor protein 3,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,nlrp3,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,aim2,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,interferon gamma inducible protein 16,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,ifi16,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,caspase-1,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,casp1,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,effector molecules pro-il-1β,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30222506,P01579,Interferon gamma,pro-il-18,,FP,"Nod-like receptor protein 3 (NLRP3), absent in melanoma 2 (AIM2), and interferon gamma inducible protein 16 (IFI16) are innate immune sensors for intracellular microbes, which can be activated by various dangerous signals and subsequently lead to caspase-1 (CASP1) activation and the maturation cleavage of effector molecules pro-IL-1β and pro-IL-18."
30228940,P01375,Tumor necrosis factor,tumor necrosis factor superfamily,,FP,Co-stimulatory signals induced by ligands of the tumor necrosis factor superfamily (TNFSF) play a central role in T cell activation and have emerged as a promising strategy in cancer immunotherapy.
30228940,P01375,Tumor necrosis factor,tnfsf,,FP,Co-stimulatory signals induced by ligands of the tumor necrosis factor superfamily (TNFSF) play a central role in T cell activation and have emerged as a promising strategy in cancer immunotherapy.
30229288,P05231,Interleukin-6,inflammatory proteins,,FP,"Lysophosphatidylcholine (LysoPC) has been shown to induce the expression of inflammatory proteins, including cyclooxygenase-2 (COX-2) and interleukin-6 (IL-6), associated with cardiac fibrosis."
30229288,P05231,Interleukin-6,cyclooxygenase-2,,FP,"Lysophosphatidylcholine (LysoPC) has been shown to induce the expression of inflammatory proteins, including cyclooxygenase-2 (COX-2) and interleukin-6 (IL-6), associated with cardiac fibrosis."
30229288,P05231,Interleukin-6,cox-2,,FP,"Lysophosphatidylcholine (LysoPC) has been shown to induce the expression of inflammatory proteins, including cyclooxygenase-2 (COX-2) and interleukin-6 (IL-6), associated with cardiac fibrosis."
30229288,P05231,Interleukin-6,il-6,P05231,TP,"Lysophosphatidylcholine (LysoPC) has been shown to induce the expression of inflammatory proteins, including cyclooxygenase-2 (COX-2) and interleukin-6 (IL-6), associated with cardiac fibrosis."
30230382,P05231,Interleukin-6,reck protein,,FP,We investigated whether chorioamnionitis affects immunohistochemical demonstration of RECK protein and interleukin-6 (IL-6) expression in fetal placental membranes following late preterm delivery with intact membranes.
30230382,P05231,Interleukin-6,il-6,P05231,TP,We investigated whether chorioamnionitis affects immunohistochemical demonstration of RECK protein and interleukin-6 (IL-6) expression in fetal placental membranes following late preterm delivery with intact membranes.
30233230,P22301,Interleukin-10,il-10,P22301,TP,"To date, there has been no study on the effects of interleukin-10 (IL-10) on complex regional pain syndrome (CRPS) rodent models, despite the anti-allodynic effect of IL-10 in previous studies."
30233590,O95760,Interleukin-33,il-33,O95760,TP,"Interleukin-33 (IL-33) plays multiple roles in tissue homeostasis, prevention of parasitic infection, and induction of allergic inflammation."
30233684,P40933,Interleukin-15,il-15,P40933,TP,"The aim of the present study was to investigate the expression levels of interleukin-15 (IL-15) and interleukin-17 (IL-17) in synovial fluid of rheumatoid arthritis (RA) animal model, and to investigate their correlations with RA."
30233684,P40933,Interleukin-15,interleukin-17,,FP,"The aim of the present study was to investigate the expression levels of interleukin-15 (IL-15) and interleukin-17 (IL-17) in synovial fluid of rheumatoid arthritis (RA) animal model, and to investigate their correlations with RA."
30233684,P40933,Interleukin-15,il-17,Q16552,TP,"The aim of the present study was to investigate the expression levels of interleukin-15 (IL-15) and interleukin-17 (IL-17) in synovial fluid of rheumatoid arthritis (RA) animal model, and to investigate their correlations with RA."
30233685,P05231,Interleukin-6,high-sensitivity c-reactive protein,,FP,"Effects of tirofiban on stent thrombosis, high-sensitivity C-reactive protein (Hs-CRP), interleukin-6 (IL-6) and soluble intercellular adhesion molecule-1 (sICAM-1) after percutaneous coronary intervention (PCI) of acute myocardial infarction (AMI) were investigated."
30233685,P05231,Interleukin-6,il-6,P05231,TP,"Effects of tirofiban on stent thrombosis, high-sensitivity C-reactive protein (Hs-CRP), interleukin-6 (IL-6) and soluble intercellular adhesion molecule-1 (sICAM-1) after percutaneous coronary intervention (PCI) of acute myocardial infarction (AMI) were investigated."
30233685,P05231,Interleukin-6,intercellular adhesion molecule-1,,FP,"Effects of tirofiban on stent thrombosis, high-sensitivity C-reactive protein (Hs-CRP), interleukin-6 (IL-6) and soluble intercellular adhesion molecule-1 (sICAM-1) after percutaneous coronary intervention (PCI) of acute myocardial infarction (AMI) were investigated."
30233685,P05231,Interleukin-6,sicam-1,,FP,"Effects of tirofiban on stent thrombosis, high-sensitivity C-reactive protein (Hs-CRP), interleukin-6 (IL-6) and soluble intercellular adhesion molecule-1 (sICAM-1) after percutaneous coronary intervention (PCI) of acute myocardial infarction (AMI) were investigated."
30233686,P05231,Interleukin-6,il-6,P05231,TP,"Expression of interleukin-6 (IL-6), interleukin-21 (IL-21) and anti-müllerian hormone (AMH) in premature ovarian failure (POF) patients were observed to explore the correlation of each indicator and its significance in POF."
30233686,P05231,Interleukin-6,interleukin-21,,FP,"Expression of interleukin-6 (IL-6), interleukin-21 (IL-21) and anti-müllerian hormone (AMH) in premature ovarian failure (POF) patients were observed to explore the correlation of each indicator and its significance in POF."
30233686,P05231,Interleukin-6,il-21,,FP,"Expression of interleukin-6 (IL-6), interleukin-21 (IL-21) and anti-müllerian hormone (AMH) in premature ovarian failure (POF) patients were observed to explore the correlation of each indicator and its significance in POF."
30236198,P01375,Tumor necrosis factor,nuclear receptor-binding set domain protein 3,,FP,Objective To investigate the role of nuclear receptor-binding SET domain protein 3 (NSD3) in lipopolysaccharide (LPS)-triggered tumor necrosis factor α (TNF-α) production in macrophages and the underlying epigenetic mechanism.
30236198,P01375,Tumor necrosis factor,tumor necrosis factor α,,FP,Objective To investigate the role of nuclear receptor-binding SET domain protein 3 (NSD3) in lipopolysaccharide (LPS)-triggered tumor necrosis factor α (TNF-α) production in macrophages and the underlying epigenetic mechanism.
30239031,P01375,Tumor necrosis factor,regulatory protein,,FP,"Adropin, a newly identified regulatory protein encoded by Enho gene, suppressed tumor necrosis factor α-induced THP1 monocyte adhesion to human umbilical vein endothelial cells."
30242894,P14210,Hepatocyte growth factor,endothelial barrier complex,,FP,"Mesenchymal stem cells (MSCs) protect the endothelial barrier complex and survival, implicated in the pathogenesis of acute lung injury (ALI) via paracrine hepatocyte growth factor (HGF)."
30242894,P14210,Hepatocyte growth factor,hgf,P14210,TP,"Mesenchymal stem cells (MSCs) protect the endothelial barrier complex and survival, implicated in the pathogenesis of acute lung injury (ALI) via paracrine hepatocyte growth factor (HGF)."
30244258,O95760,Interleukin-33,il-33,O95760,TP,"BACKGROUND Interleukin-33 (IL-33) has been reported to affect chronic inflammation of the lungs, but its impact on hyperoxia-injured lungs in newborns remains obscure."
30249022,P05231,Interleukin-6,il-6,P05231,TP,Interleukin-6 (IL-6) contributes to the development of immune-mediated complications after allogeneic stem cell transplantation.
30249443,P01375,Tumor necrosis factor,tnf,P01375,TP,"The tumor necrosis factor (TNF) antagonist infliximab was previously found to reduce depressive symptoms in patients with treatment-resistant major depression (TRD) who exhibited high baseline inflammation, as reflected by plasma C-reactive protein (CRP) >5 mg/L. Further predictors of antidepressant response to infliximab included differential expression of peripheral blood gene transcripts that were related not only to inflammation but also to glucose and lipid metabolism."
30249443,P01375,Tumor necrosis factor,plasma c-reactive protein,,FP,"The tumor necrosis factor (TNF) antagonist infliximab was previously found to reduce depressive symptoms in patients with treatment-resistant major depression (TRD) who exhibited high baseline inflammation, as reflected by plasma C-reactive protein (CRP) >5 mg/L. Further predictors of antidepressant response to infliximab included differential expression of peripheral blood gene transcripts that were related not only to inflammation but also to glucose and lipid metabolism."
30249443,P01375,Tumor necrosis factor,crp,,FP,"The tumor necrosis factor (TNF) antagonist infliximab was previously found to reduce depressive symptoms in patients with treatment-resistant major depression (TRD) who exhibited high baseline inflammation, as reflected by plasma C-reactive protein (CRP) >5 mg/L. Further predictors of antidepressant response to infliximab included differential expression of peripheral blood gene transcripts that were related not only to inflammation but also to glucose and lipid metabolism."
30249450,P22301,Interleukin-10,anti-inflammatory cytokine interleukin-10,,FP,To understand if baseline levels of the anti-inflammatory cytokine interleukin-10 (IL-10) are associated with either subclinical atherosclerosis or risk for adverse cardiovascular (CV) events.
30249450,P22301,Interleukin-10,il-10,P22301,TP,To understand if baseline levels of the anti-inflammatory cytokine interleukin-10 (IL-10) are associated with either subclinical atherosclerosis or risk for adverse cardiovascular (CV) events.
30252601,P01375,Tumor necrosis factor,tnf,P01375,TP,Selective inhibition of tumor necrosis factor (TNF) signaling through the proinflammatory axis of TNF-receptor 1 (TNFR1) while leaving pro-survival and regeneration-promoting signals via TNFR2 unaffected is a promising strategy to circumvent limitations of complete inhibition of TNF action by the approved anti-TNF drugs.
30252601,P01375,Tumor necrosis factor,tnf-receptor 1,,FP,Selective inhibition of tumor necrosis factor (TNF) signaling through the proinflammatory axis of TNF-receptor 1 (TNFR1) while leaving pro-survival and regeneration-promoting signals via TNFR2 unaffected is a promising strategy to circumvent limitations of complete inhibition of TNF action by the approved anti-TNF drugs.
30252601,P01375,Tumor necrosis factor,tnfr1,,FP,Selective inhibition of tumor necrosis factor (TNF) signaling through the proinflammatory axis of TNF-receptor 1 (TNFR1) while leaving pro-survival and regeneration-promoting signals via TNFR2 unaffected is a promising strategy to circumvent limitations of complete inhibition of TNF action by the approved anti-TNF drugs.
30252601,P01375,Tumor necrosis factor,tnfr2,,FP,Selective inhibition of tumor necrosis factor (TNF) signaling through the proinflammatory axis of TNF-receptor 1 (TNFR1) while leaving pro-survival and regeneration-promoting signals via TNFR2 unaffected is a promising strategy to circumvent limitations of complete inhibition of TNF action by the approved anti-TNF drugs.
30253283,P01375,Tumor necrosis factor,tumor necrosis factor receptor-associated factor6,,FP,"The interaction of the proteins, tumor necrosis factor receptor-associated factor6 (TRAF6) and Basigin (CD147), is known to be associated with the over-expression of matrix metalloproteinases (MMPs) in melanoma cells."
30253283,P01375,Tumor necrosis factor,traf6,,FP,"The interaction of the proteins, tumor necrosis factor receptor-associated factor6 (TRAF6) and Basigin (CD147), is known to be associated with the over-expression of matrix metalloproteinases (MMPs) in melanoma cells."
30253283,P01375,Tumor necrosis factor,basigin,,FP,"The interaction of the proteins, tumor necrosis factor receptor-associated factor6 (TRAF6) and Basigin (CD147), is known to be associated with the over-expression of matrix metalloproteinases (MMPs) in melanoma cells."
30253283,P01375,Tumor necrosis factor,cd147,,FP,"The interaction of the proteins, tumor necrosis factor receptor-associated factor6 (TRAF6) and Basigin (CD147), is known to be associated with the over-expression of matrix metalloproteinases (MMPs) in melanoma cells."
30253283,P01375,Tumor necrosis factor,matrix metalloproteinases,,FP,"The interaction of the proteins, tumor necrosis factor receptor-associated factor6 (TRAF6) and Basigin (CD147), is known to be associated with the over-expression of matrix metalloproteinases (MMPs) in melanoma cells."
30253283,P01375,Tumor necrosis factor,mmps,,FP,"The interaction of the proteins, tumor necrosis factor receptor-associated factor6 (TRAF6) and Basigin (CD147), is known to be associated with the over-expression of matrix metalloproteinases (MMPs) in melanoma cells."
30253387,P09919,Granulocyte colony-stimulating factor,g-csf,P09919,TP,"This meta-analysis aimed to evaluate the risk of clonal evolution of granulocyte colony-stimulating factor (G-CSF) in acquired aplastic anemia (AA), and whether the use of G-CSF increases the occurrence of secondary malignant neoplasms, mainly myelodysplastic syndrome (MDS) and acute myeloid leukemia (AML) or paroxysmal nocturnal hemoglobinuria (PNH)."
30253804,P01375,Tumor necrosis factor,human igg1 monoclonal antibody,,FP,"This open-label, first-in-human, phase 1 study evaluated the safety, pharmacokinetics, pharmacodynamics, and maximum tolerated dose (MTD) of AMG 228, an agonistic human IgG1 monoclonal antibody targeting glucocorticoid-induced tumor necrosis factor receptor-related protein (GITR), in patients with refractory advanced solid tumors."
30253804,P01375,Tumor necrosis factor,tumor necrosis factor receptor-related protein,,FP,"This open-label, first-in-human, phase 1 study evaluated the safety, pharmacokinetics, pharmacodynamics, and maximum tolerated dose (MTD) of AMG 228, an agonistic human IgG1 monoclonal antibody targeting glucocorticoid-induced tumor necrosis factor receptor-related protein (GITR), in patients with refractory advanced solid tumors."
30253804,P01375,Tumor necrosis factor,gitr,,FP,"This open-label, first-in-human, phase 1 study evaluated the safety, pharmacokinetics, pharmacodynamics, and maximum tolerated dose (MTD) of AMG 228, an agonistic human IgG1 monoclonal antibody targeting glucocorticoid-induced tumor necrosis factor receptor-related protein (GITR), in patients with refractory advanced solid tumors."
30254339,P09919,Granulocyte colony-stimulating factor,cytokine granulocyte colony-stimulating factor,,FP,"Mobilization of hematopoietic stem cells (HSCs) from bone marrow (BM) to peripheral blood (PB) by cytokine granulocyte colony-stimulating factor (G-CSF) or the chemical antagonist of CXCR4, AMD3100, is important in the treatment of blood diseases."
